Document Title,Authors,Author Affiliations,Publication Year,Abstract,DOI,PDF Link,Author Keywords,Article Citation Count,Patent Citation Count,Reference Count
DeblurGAN: Blind Motion Deblurring Using Conditional Adversarial Networks,O. Kupyn; V. Budzan; M. Mykhailych; D. Mishkin; J. Matas,"ELEKS Ltd.; ELEKS Ltd.; Ukrainian Catholic University, Lviv, Ukraine; FEE, CTU in Prague; FEE, CTU in Prague",2018,"We present DeblurGAN, an end-to-end learned method for motion deblurring. The learning is based on a conditional GAN and the content loss. DeblurGAN achieves state-of-the art performance both in the structural similarity measure and visual appearance. The quality of the deblurring model is also evaluated in a novel way on a real-world problem - object detection on (de-)blurred images. The method is 5 times faster than the closest competitor - Deep-Deblur [25]. We also introduce a novel method for generating synthetic motion blurred images from sharp ones, allowing realistic dataset augmentation. The model, code and the dataset are available at https://github.com/KupynOrest/DeblurGAN.",10.1109/CVPR.2018.00854,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8578952,,1308,2,47
Rethinking Coarse-to-Fine Approach in Single Image Deblurring,S. -J. Cho; S. -W. Ji; J. -P. Hong; S. -W. Jung; S. -J. Ko,"Department of Electrical Engineering, Korea University; Department of Electrical Engineering, Korea University; Department of Electrical Engineering, Korea University; Department of Electrical Engineering, Korea University; Department of Electrical Engineering, Korea University",2021,"Coarse-to-fine strategies have been extensively used for the architecture design of single image deblurring networks. Conventional methods typically stack sub-networks with multi-scale input images and gradually improve sharpness of images from the bottom sub-network to the top sub-network, yielding inevitably high computational costs. Toward a fast and accurate deblurring network design, we revisit the coarse-to-fine strategy and present a multi-input multi-output U-net (MIMO-UNet). The MIMO-UNet has three distinct features. First, the single encoder of the MIMO-UNet takes multi-scale input images to ease the difficulty of training. Second, the single decoder of the MIMO-UNet outputs multiple deblurred images with different scales to mimic multi-cascaded U-nets using a single U-shaped network. Last, asymmetric feature fusion is introduced to merge multi-scale features in an efficient manner. Extensive experiments on the GoPro and RealBlur datasets demonstrate that the proposed network outperforms the state-of-the-art methods in terms of both accuracy and computational complexity. Source code is available for research purposes at https://github.com/chosj95/MIMO-UNet.",10.1109/ICCV48922.2021.00460,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9710098,Low-level and physics-based vision;Computational photography,658,,37
Blind Image Deblurring Using Dark Channel Prior,J. Pan; D. Sun; H. Pfister; M. -H. Yang,UC Merced; NVIDIA; Harvard University; UC Merced,2016,"We present a simple and effective blind image deblurring method based on the dark channel prior. Our work is inspired by the interesting observation that the dark channel of blurred images is less sparse. While most image patches in the clean image contain some dark pixels, these pixels are not dark when averaged with neighboring highintensity pixels during the blur process. This change in the sparsity of the dark channel is an inherent property of the blur process, which we both prove mathematically and validate using training data. Therefore, enforcing the sparsity of the dark channel helps blind deblurring on various scenarios, including natural, face, text, and low-illumination images. However, sparsity of the dark channel introduces a non-convex non-linear optimization problem. We introduce a linear approximation of the min operator to compute the dark channel. Our look-up-table-based method converges fast in practice and can be directly extended to non-uniform deblurring. Extensive experiments show that our method achieves state-of-the-art results on deblurring natural images and compares favorably methods that are well-engineered for specific scenarios.",10.1109/CVPR.2016.180,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7780549,,643,,38
A Comparative Study for Single Image Blind Deblurring,W. -S. Lai; J. -B. Huang; Z. Hu; N. Ahuja; M. -H. Yang,"University of California, Merced; University of Illinois, Urbana-Champaign; University of California, Merced; University of Illinois, Urbana-Champaign; University of California, Merced",2016,"Numerous single image blind deblurring algorithms have been proposed to restore latent sharp images under camera motion. However, these algorithms are mainly evaluated using either synthetic datasets or few selected real blurred images. It is thus unclear how these algorithms would perform on images acquired ""in the wild"" and how we could gauge the progress in the field. In this paper, we aim to bridge this gap. We present the first comprehensive perceptual study and analysis of single image blind deblurring using real-world blurred images. First, we collect a dataset of real blurred images and a dataset of synthetically blurred images. Using these datasets, we conduct a large-scale user study to quantify the performance of several representative state-of-the-art blind deblurring algorithms. Second, we systematically analyze subject preferences, including the level of agreement, significance tests of score differences, and rationales for preferring one method over another. Third, we study the correlation between human subjective scores and several full-reference and noreference image quality metrics. Our evaluation and analysis indicate the performance gap between synthetically blurred images and real blurred image and sheds light on future research in single image blind deblurring.",10.1109/CVPR.2016.188,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7780557,,351,,49
Image Deblurring via Extreme Channels Prior,Y. Yan; W. Ren; Y. Guo; R. Wang; X. Cao,"University of Chinese Academy of Sciences, School of Cyber Security; Tianjin University, School of Computer Science and Technology; State Key Laboratory of Information Security, Chinese Academy of Sciences; State Key Laboratory of Information Security, Chinese Academy of Sciences; University of Chinese Academy of Sciences, School of Cyber Security",2017,"Camera motion introduces motion blur, affecting many computer vision tasks. Dark Channel Prior (DCP) helps the blind deblurring on scenes including natural, face, text, and low-illumination images. However, it has limitations and is less likely to support the kernel estimation while bright pixels dominate the input image. We observe that the bright pixels in the clear images are not likely to be bright after the blur process. Based on this observation, we first illustrate this phenomenon mathematically and define it as the Bright Channel Prior (BCP). Then, we propose a technique for deblurring such images which elevates the performance of existing motion deblurring algorithms. The proposed method takes advantage of both Bright and Dark Channel Prior. This joint prior is named as extreme channels prior and is crucial for achieving efficient restorations by leveraging both the bright and dark information. Extensive experimental results demonstrate that the proposed method is more robust and performs favorably against the state-of-the-art image deblurring methods on both synthesized and natural images.",10.1109/CVPR.2017.738,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8100221,,281,,27
Human-Aware Motion Deblurring,Z. Shen; W. Wang; X. Lu; J. Shen; H. Ling; T. Xu; L. Shao,"Inception Institute of Artificial Intelligence, UAE; Inception Institute of Artificial Intelligence, UAE; Inception Institute of Artificial Intelligence, UAE; Inception Institute of Artificial Intelligence, UAE; Stony Brook University, USA; Beijing Institute of Technology, China; Inception Institute of Artificial Intelligence, UAE",2019,"This paper proposes a human-aware deblurring model that disentangles the motion blur between foreground (FG) humans and background (BG). The proposed model is based on a triple-branch encoder-decoder architecture. The first two branches are learned for sharpening FG humans and BG details, respectively; while the third one produces global, harmonious results by comprehensively fusing multi-scale deblurring information from the two domains. The proposed model is further endowed with a supervised, human-aware attention mechanism in an end-to-end fashion. It learns a soft mask that encodes FG human information and explicitly drives the FG/BG decoder-branches to focus on their specific domains. Above designs lead to a fully differentiable motion deblurring network, which can be trained end-to-end. To further benefit the research towards Human-aware Image Deblurring, we introduce a large-scale dataset, named HIDE, which consists of 8,422 blurry and sharp image pairs with 65,784 densely annotated FG human bounding boxes. HIDE is specifically built to span a broad range of scenes, human object sizes, motion patterns, and background complexities. Extensive experiments on public benchmarks and our dataset demonstrate that our model performs favorably against the state-of-the-art motion deblurring methods, especially in capturing semantic details.",10.1109/ICCV.2019.00567,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9010839,,273,,59
$L_0$ -Regularized Intensity and Gradient Prior for Deblurring Text Images and Beyond,J. Pan; Z. Hu; Z. Su; M. -H. Yang,"School of Engineering, University of California, Merced, CA; School of Engineering, University of California, Merced, CA; National Engineering Research Center of Digital Life, Guangzhou, China; School of Engineering, University of California, Merced, CA",2017,"We propose a simple yet effective L0-regularized prior based on intensity and gradient for text image deblurring. The proposed image prior is based on distinctive properties of text images, with which we develop an efficient optimization algorithm to generate reliable intermediate results for kernel estimation. The proposed algorithm does not require any heuristic edge selection methods, which are critical to the state-of-the-art edge-based deblurring methods. We discuss the relationship with other edge-based deblurring methods and present how to select salient edges more principally. For the final latent image restoration step, we present an effective method to remove artifacts for better deblurred results. We show the proposed algorithm can be extended to deblur natural images with complex scenes and low illumination, as well as non-uniform deblurring. Experimental results demonstrate that the proposed algorithm performs favorably against the state-of-the-art image deblurring methods.",10.1109/TPAMI.2016.2551244,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7448477,Image deblurring;L0 -regularized prior;text images;low-illumination images;natural images,263,,50
Deblurring Images via Dark Channel Prior,J. Pan; D. Sun; H. Pfister; M. -H. Yang,"School of Computer Science and Engineering, Nanjing University of Science and Technology, Nanjing, China; NVIDIA, Westford, MA; Harvard University, Cambridge, MA; School of Engineering, University of California, Merced, CA",2018,"We present an effective blind image deblurring algorithm based on the dark channel prior. The motivation of this work is an interesting observation that the dark channel of blurred images is less sparse. While most patches in a clean image contain some dark pixels, this is not the case when they are averaged with neighboring ones by motion blur. This change in sparsity of the dark channel pixels is an inherent property of the motion blur process, which we prove mathematically and validate using image data. Enforcing sparsity of the dark channel thus helps blind deblurring in various scenarios such as natural, face, text, and low-illumination images. However, imposing sparsity of the dark channel introduces a non-convex non-linear optimization problem. In this work, we introduce a linear approximation to address this issue. Extensive experiments demonstrate that the proposed deblurring algorithm achieves the state-of-the-art results on natural images and performs favorably against methods designed for specific scenarios. In addition, we show that the proposed method can be applied to image dehazing.",10.1109/TPAMI.2017.2753804,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8048543,Image deblurring;dark channel prior;non-uniform deblurring;convolution;linear approximation,236,,50
Adversarial Spatio-Temporal Learning for Video Deblurring,K. Zhang; W. Luo; Y. Zhong; L. Ma; W. Liu; H. Li,"Australian National University, Canberra, ACT, AU; Tencent AI Laboratory, Shenzhen, China; Australian National University, Canberra, ACT, AU; Tencent AI Laboratory, Shenzhen, China; Tencent AI Laboratory, Shenzhen, China; Australian National University, Canberra, ACT, AU",2019,"Camera shake or target movement often leads to undesired blur effects in videos captured by a hand-held camera. Despite significant efforts having been devoted to video-deblur research, two major challenges remain: 1) how to model the spatio-temporal characteristics across both the spatial domain (i.e., image plane) and the temporal domain (i.e., neighboring frames) and 2) how to restore sharp image details with respect to the conventionally adopted metric of pixel-wise errors. In this paper, to address the first challenge, we propose a deblurring network (DBLRNet) for spatial-temporal learning by applying a 3D convolution to both the spatial and temporal domains. Our DBLRNet is able to capture jointly spatial and temporal information encoded in neighboring frames, which directly contributes to the improved video deblur performance. To tackle the second challenge, we leverage the developed DBLRNet as a generator in the generative adversarial network (GAN) architecture and employ a content loss in addition to an adversarial loss for efficient adversarial training. The developed network, which we name as deblurring GAN, is tested on two standard benchmarks and achieves the state-of-the-art performance.",10.1109/TIP.2018.2867733,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8449842,Spatio-temporal learning;adversarial learning;video deblurring,234,,56
Multi-Scale Patch-Based Image Restoration,V. Papyan; M. Elad,"Haifa, Israel; Haifa, Israel",2016,"Many image restoration algorithms in recent years are based on patch processing. The core idea is to decompose the target image into fully overlapping patches, restore each of them separately, and then merge the results by a plain averaging. This concept has been demonstrated to be highly effective, leading often times to the state-of-the-art results in denoising, inpainting, deblurring, segmentation, and other applications. While the above is indeed effective, this approach has one major flaw: the prior is imposed on intermediate (patch) results, rather than on the final outcome, and this is typically manifested by visual artifacts. The expected patch log likelihood (EPLL) method by Zoran and Weiss was conceived for addressing this very problem. Their algorithm imposes the prior on the patches of the final image, which in turn leads to an iterative restoration of diminishing effect. In this paper, we propose to further extend and improve the EPLL by considering a multi-scale prior. Our algorithm imposes the very same prior on different scale patches extracted from the target image. While all the treated patches are of the same size, their footprint in the destination image varies due to subsampling. Our scheme comes to alleviate another shortcoming existing in patch-based restoration algorithms—the fact that a local (patch-based) prior is serving as a model for a global stochastic phenomenon. We motivate the use of the multi-scale EPLL by restricting ourselves to the simple Gaussian case, comparing the aforementioned algorithms and showing a clear advantage to the proposed method. We then demonstrate our algorithm in the context of image denoising, deblurring, and super-resolution, showing an improvement in performance both visually and quantitatively.",10.1109/TIP.2015.2499698,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7327182,Image restoration;expected patch log likelihood (EPLL);Gaussian mixture model;multi-scale;denoising;deblurring;super-resolution;Image restoration;expected patch log likelihood (EPLL);Gaussian mixture model;multi-scale;denoising;deblurring;super-resolution,219,,35
Image Deblurring via Enhanced Low-Rank Prior,W. Ren; X. Cao; J. Pan; X. Guo; W. Zuo; M. -H. Yang,"School of Computer Science and Technology, Tianjin University, Tianjin, China; School of Computer Science and Technology, Tianjin University, Tianjin, China; School of Engineering, University of California at Merced, Merced, CA, USA; State Key Laboratory of Information Security, Institute of Information Engineering, Chinese Academy of Sciences, Beijing, China; School of Computer Science and Technology, Harbin Institute of Technology, Harbin, China; School of Engineering, University of California at Merced, Merced, CA, USA",2016,"Low-rank matrix approximation has been successfully applied to numerous vision problems in recent years. In this paper, we propose a novel low-rank prior for blind image deblurring. Our key observation is that directly applying a simple low-rank model to a blurry input image significantly reduces the blur even without using any kernel information, while preserving important edge information. The same model can be used to reduce blur in the gradient map of a blurry input. Based on these properties, we introduce an enhanced prior for image deblurring by combining the low rank prior of similar patches from both the blurry image and its gradient map. We employ a weighted nuclear norm minimization method to further enhance the effectiveness of low-rank prior for image deblurring, by retaining the dominant edges and eliminating fine texture and slight edges in intermediate images, allowing for better kernel estimation. In addition, we evaluate the proposed enhanced low-rank prior for both the uniform and the non-uniform deblurring. Quantitative and qualitative experimental evaluations demonstrate that the proposed algorithm performs favorably against the state-of-the-art deblurring methods.",10.1109/TIP.2016.2571062,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7473901,Blind deblurring;low rank;weighted nuclear norm;non-uniform deblurring;Blind deblurring;low rank;weighted nuclear norm;non-uniform deblurring,212,,51
