Document Title,Authors,Author Affiliations,Publication Year,Abstract,DOI,PDF Link,Author Keywords,Article Citation Count,Patent Citation Count,Reference Count
Single Image Haze Removal Using Dark Channel Prior,K. He; J. Sun; X. Tang,"Department of Information Engineering, Chinese University of Hong Kong, Hong Kong, China; Microsoft Research Asia, China; Department of Information Engineering, Chinese University of Hong Kong, Hong Kong, China",2011,"In this paper, we propose a simple but effective image prior-dark channel prior to remove haze from a single input image. The dark channel prior is a kind of statistics of outdoor haze-free images. It is based on a key observation-most local patches in outdoor haze-free images contain some pixels whose intensity is very low in at least one color channel. Using this prior with the haze imaging model, we can directly estimate the thickness of the haze and recover a high-quality haze-free image. Results on a variety of hazy images demonstrate the power of the proposed prior. Moreover, a high-quality depth map can also be obtained as a byproduct of haze removal.",10.1109/TPAMI.2010.168,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5567108,Dehaze;defog;image restoration;depth estimation.,4679,34,20
DehazeNet: An End-to-End System for Single Image Haze Removal,B. Cai; X. Xu; K. Jia; C. Qing; D. Tao,"School of Electronic and Information Engineering, South China University of Technology, Guangzhou, China; School of Electronic and Information Engineering, South China University of Technology, Guangzhou, China; School of Electronic and Information Engineering, South China University of Technology, Guangzhou, China; School of Electronic and Information Engineering, South China University of Technology, Guangzhou, China; Centre for Quantum Computation and Intelligent Systems, Faculty of Engineering and Information Technology, University of Technology Sydney, Ultimo, NSW, Australia",2016,"Single image haze removal is a challenging ill-posed problem. Existing methods use various constraints/priors to get plausible dehazing solutions. The key to achieve haze removal is to estimate a medium transmission map for an input hazy image. In this paper, we propose a trainable end-to-end system called DehazeNet, for medium transmission estimation. DehazeNet takes a hazy image as input, and outputs its medium transmission map that is subsequently used to recover a haze-free image via atmospheric scattering model. DehazeNet adopts convolutional neural network-based deep architecture, whose layers are specially designed to embody the established assumptions/priors in image dehazing. Specifically, the layers of Maxout units are used for feature extraction, which can generate almost all haze-relevant features. We also propose a novel nonlinear activation function in DehazeNet, called bilateral rectified linear unit, which is able to improve the quality of recovered haze-free image. We establish connections between the components of the proposed DehazeNet and those used in existing methods. Experiments on benchmark images show that DehazeNet achieves superior performance over existing methods, yet keeps efficient and easy to use.",10.1109/TIP.2016.2598681,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7539399,Dehaze;image restoration;deep CNN;BReLU,2896,3,45
Cycle-Dehaze: Enhanced CycleGAN for Single Image Dehazing,D. Engin; A. Genc; H. K. Ekenel,"SiMiT Lab, Istanbul Tcthnical University, Turkey; SiMiT Lab, Istanbul Tcthnical University, Turkey; SiMiT Lab, Istanbul Tcthnical University, Turkey",2018,"In this paper, we present an end-to-end network, called Cycle-Dehaze, for single image dehazing problem, which does not require pairs of hazy and corresponding ground truth images for training. That is, we train the network by feeding clean and hazy images in an unpaired manner. Moreover, the proposed approach does not rely on estimation of the atmospheric scattering model parameters. Our method enhances CycleGAN formulation by combining cycle-consistency and perceptual losses in order to improve the quality of textural information recovery and generate visually better haze-free images. Typically, deep learning models for dehazing take low resolution images as input and produce low resolution outputs. However, in the NTIRE 2018 challenge on single image dehazing, high resolution images were provided. Therefore, we apply bicubic downscaling. After obtaining low-resolution outputs from the network, we utilize the Laplacian pyramid to upscale the output images to the original resolution. We conduct experiments on NYU-Depth, I-HAZE, and O-HAZE datasets. Extensive experiments demonstrate that the proposed approach improves CycleGAN method both quantitatively and qualitatively.",10.1109/CVPRW.2018.00127,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8575279,,561,,38
An Investigation of Dehazing Effects on Image and Video Coding,K. B. Gibson; D. T. Vo; T. Q. Nguyen,"Department of Electrical and Computer Engineering, University of California, San Diego, La Jolla, CA, USA; Digital Media Solutions Laboratory, Samsung Electronics U.S. Research and Development Center, Samsung Information Systems America, Inc., Irvine, CA, USA; Department of Electrical and Computer Engineering, University of California, San Diego, La Jolla, CA, USA",2012,"This paper makes an investigation of the dehazing effects on image and video coding for surveillance systems. The goal is to achieve good dehazed images and videos at the receiver while sustaining low bitrates (using compression) in the transmission pipeline. At first, this paper proposes a novel method for single-image dehazing, which is used for the investigation. It operates at a faster speed than current methods and can avoid halo effects by using the median operation. We then consider the dehazing effects in compression by investigating the coding artifacts and motion estimation in cases of applying any dehazing method before or after compression. We conclude that better dehazing performance with fewer artifacts and better coding efficiency is achieved when the dehazing is applied before compression. Simulations for Joint Photographers Expert Group images in addition to subjective and objective tests with H.264 compressed sequences validate our conclusion.",10.1109/TIP.2011.2166968,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6008642,Atmospheric scattering;compression artifacts;contrast enhancement;dehaze,269,,36
Light-DehazeNet: A Novel Lightweight CNN Architecture for Single Image Dehazing,H. Ullah; K. Muhammad; M. Irfan; S. Anwar; M. Sajjad; A. S. Imran; V. H. C. de Albuquerque,"Department of Software, Visual Analytics for Knowledge Laboratory (VIS2KNOW Lab), Sejong University, Seoul, Republic of Korea; Department of Software, Sejong University, Seoul, Republic of Korea; Department of Software, Visual Analytics for Knowledge Laboratory (VIS2KNOW Lab), Sejong University, Seoul, Republic of Korea; Data61-Commonwealth Scientific and Industrial Research Organization (CSIRO), Black Mountain, ACT, Australia; Department of Computer Science, Norwegian Colour and Visual Computing Laboratory, Norwegian University of Science and Technology (NTNU), Gjøvik, Norway; Department of Computer Science, Norwegian Colour and Visual Computing Laboratory, Norwegian University of Science and Technology (NTNU), Gjøvik, Norway; Department of Teleinformatics Engineering, Federal University of Ceará, Fortaleza, Brazil",2021,"Due to the rapid development of artificial intelligence technology, industrial sectors are revolutionizing in automation, reliability, and robustness, thereby significantly increasing quality and productivity. Most of the surveillance and industrial sectors are monitored by visual sensor networks capturing different surrounding environment images. However, during tempestuous weather conditions, the visual quality of the images is reduced due to contaminated suspended atmospheric particles that affect the overall surveillance systems. To tackle these challenges, this article presents a computationally efficient lightweight convolutional neural network referred to as Light-DehazeNet (LD-Net) for the reconstruction of hazy images. Unlike other learning-based approaches, which separately measure the transmission map and the atmospheric light, our proposed LD-Net jointly estimates both the transmission map and the atmospheric light using a transformed atmospheric scattering model. Furthermore, a color visibility restoration method is proposed to evade the color distortion in the dehaze image. Finally, we conduct extensive experiments using synthetic and natural hazy images. The quantitative and qualitative evaluation on different benchmark hazy datasets verify the superiority of the proposed method over other state-of-the-art image dehazing techniques. Moreover, additional experimentation validates the applicability of the proposed method in the object detection tasks. Considering the lightweight architecture with minimal computational cost, the proposed system is encouraged to be incorporated as an integral part of the vision-based monitoring systems to improve the overall performance.",10.1109/TIP.2021.3116790,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9562276,Image enhancement;image reconstruction;haze removal;convolutional neural network;single image dehazing;image visibility restoration,178,,58
Single Image Defogging by Multiscale Depth Fusion,Y. -K. Wang; C. -T. Fan,"Department of Electrical Engineering, Fu Jen Catholic University, Taipei, Taiwan; Department of Electrical Engineering, Fu Jen Catholic University, Taipei, Taiwan",2014,"Restoration of fog images is important for the deweathering issue in computer vision. The problem is ill-posed and can be regularized within a Bayesian context using a probabilistic fusion model. This paper presents a multiscale depth fusion (MDF) method for defog from a single image. A linear model representing the stochastic residual of nonlinear filtering is first proposed. Multiscale filtering results are probabilistically blended into a fused depth map based on the model. The fusion is formulated as an energy minimization problem that incorporates spatial Markov dependence. An inhomogeneous Laplacian–Markov random field for the multiscale fusion regularized with smoothing and edge-preserving constraints is developed. A nonconvex potential, adaptive truncated Laplacian, is devised to account for spatially variant characteristics such as edge and depth discontinuity. Defog is solved by an alternate optimization algorithm searching for solutions of depth map by minimizing the nonconvex potential in the random field. The MDF method is experimentally verified by real-world fog images including cluttered-depth scene that is challenging for defogging at finer details. The fog-free images are restored with improving contrast and vivid colors but without over-saturation. Quantitative assessment of image quality is applied to compare various defog methods. Experimental results demonstrate that the accurate estimation of depth map by the proposed edge-preserved multiscale fusion should recover high-quality images with sharp details.",10.1109/TIP.2014.2358076,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6898864,Dehaze;de-weathering;visibility restoration;contrast restoration;Markov random field,149,,36
UCL-Dehaze: Toward Real-World Image Dehazing via Unsupervised Contrastive Learning,Y. Wang; X. Yan; F. L. Wang; H. Xie; W. Yang; X. -P. Zhang; J. Qin; M. Wei,"School of Computer Science and Technology, Nanjing University of Aeronautics and Astronautics, Nanjing, China; School of Computer Science and Technology, Nanjing University of Aeronautics and Astronautics, Nanjing, China; School of Science and Technology, Hong Kong Metropolitan University, Hong Kong, China; Department of Computing and Decision Sciences, Lingnan University, Hong Kong, China; Peng Cheng Laboratory, Shenzhen, China; Tsinghua-Berkeley Shenzhen Institute, Shenzhen, China; School of Nursing, The Hong Kong Polytechnic University, Hong Kong, China; School of Computer Science and Technology, Nanjing University of Aeronautics and Astronautics, Nanjing, China",2024,"While the wisdom of training an image dehazing model on synthetic hazy data can alleviate the difficulty of collecting real-world hazy/clean image pairs, it brings the well-known domain shift problem. From a different yet new perspective, this paper explores contrastive learning with an adversarial training effort to leverage unpaired real-world hazy and clean images, thus alleviating the domain shift problem and enhancing the network’s generalization ability in real-world scenarios. We propose an effective unsupervised contrastive learning paradigm for image dehazing, dubbed UCL-Dehaze. Unpaired real-world clean and hazy images are easily captured, and will serve as the important positive and negative samples respectively when training our UCL-Dehaze network. To train the network more effectively, we formulate a new self-contrastive perceptual loss function, which encourages the restored images to approach the positive samples and keep away from the negative samples in the embedding space. Besides the overall network architecture of UCL-Dehaze, adversarial training is utilized to align the distributions between the positive samples and the dehazed images. Compared with recent image dehazing works, UCL-Dehaze does not require paired data during training and utilizes unpaired positive/negative data to better enhance the dehazing performance. We conduct comprehensive experiments to evaluate our UCL-Dehaze and demonstrate its superiority over the state-of-the-arts, even only 1,800 unpaired real-world images are used to train our network. Source code is publicly available at https://github.com/yz-wang/UCL-Dehaze.",10.1109/TIP.2024.3362153,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10431709,UCL-Dehaze;image dehazing;unsupervised contrastive learning;unpaired data;adversarial training,144,,69
Single Image Dehazing Based on the Physical Model and MSRCR Algorithm,J. Wang; K. Lu; J. Xue; N. He; L. Shao,"University of Chinese Academy of Sciences, Beijing, China; University of Chinese Academy of Sciences, Beijing, China; University of Chinese Academy of Sciences, Beijing, China; College of Information Technology, Beijing Union University, Beijing, China; School of Computing Sciences, University of East Anglia, Norwich, U.K.",2018,"To address the hazy weather image degradation problem, we propose a single image dehazing method based on a physical model and the brightness components of the image by using a multi-scale retinex with color restoration algorithm. The overall dehazing process involves three components, including the atmospheric light value calculation, transmission map estimation, and recovery of the hazy image scene radiance. Our contribution is that we propose a novel algorithm to dehaze a single image by calculating the atmospheric light value and computing the transmission map while considering the dynamic range of the image. Experimental results show that our algorithm can effectively improve the image quality degraded by foggy weather and retain sufficient image details.",10.1109/TCSVT.2017.2728822,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7984895,Dehazing;single image;physical model;MSRCR algorithm,140,,41
ReViewNet: A Fast and Resource Optimized Network for Enabling Safe Autonomous Driving in Hazy Weather Conditions,A. Mehra; M. Mandal; P. Narang; V. Chamola,"Department of Computer Science and Information Systems, BITS Pilani, Pilani, India; Department of Computer Science and Engineering, Malaviya National Institute of Technology (MNIT), Jaipur, India; Department of Computer Science and Information Systems, BITS Pilani, Pilani, India; Department of Electrical and Electronics Engineering, BITS Pilani, Pilani, India",2021,"Adverse weather conditions such as fog, haze, snow, mist and glare create visibility problems for applications of autonomous vehicles. To ensure safe and smooth operations in frequent bad weather scenarios, image dehazing is crucial to any vehicular motion and navigation task on road or air. Moreover, the commonly deployed mobile systems are resource constrained in nature. Therefore, it is important to ensure memory, compute and run-time efficiency of dehazing algorithms. In this manuscript we propose ReViewNet, a fast, lightweight and robust dehazing system suitable for autonomous vehicles. The network uses components like spatial feature pooling, quadruple color-cue, multi-look architecture and multi-weighted loss to effectively dehaze images captured by cameras of autonomous vehicles. The effectiveness of the proposed model is analyzed by exhaustive quantitative evaluation on five benchmark datasets demonstrating its supremacy over other existing state-of-the-art methods. Further, a component-wise ablation and loss weight ratio analysis demonstrates the contribution of each and every component of the network. We also show the qualitative analysis with special use cases and visual responses on distinctive vehicular vision instances, establishing the effectiveness of the proposed method in numerous hazy weather conditions for autonomous vehicular applications.",10.1109/TITS.2020.3013099,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9167446,Vehicular vision;dehazing;adverse weather;deep learning;resource-efficient;lightweight,108,,54
Trident Dehazing Network,J. Liu; H. Wu; Y. Xie; Y. Qu; L. Ma,"School of Computer Science and Technology, East China Normal University, China; School of Computer Science and Technology, East China Normal University, China; School of Computer Science and Technology, East China Normal University, China; School of Information Science and Engineering, Xiamen University, China; School of Computer Science and Technology, East China Normal University, China",2020,"Most existing dehazing methods are not robust to nonhomogeneous haze. Meanwhile, the information of dense haze region is usually unknown and hard to estimate, leading to blurry in dehaze result for those regions. Focusing on these two issues, we propose a novel coarse-to-fine model, namely Trident Dehazing Network (TDN), to learn the hazy to hazy- free image mapping with automatic haze density recognition. In detail, TDN is composed of three sub-nets: the EncoderDecoder Net (EDN) is the main net of TDN to reconstruct the coarse hazy-free feature; the Detail Refinement sub-Net (DRN) helps to refine the high frequency details that was easily lost in the pooling layers in the encoder; and the Haze Density Map Generation sub-Net (HDMGN) can automatically distinguish the thick haze region with thin one, to prevent over-dehazing or under-dehazing in regions of different haze density. Moreover, we propose a frequency domain loss function to make supervision of different frequency band more uniform. Extensive experimental results on synthetic and real datasets demonstrate that our proposed TDN outperforms the state-of-the-arts with better fidelity and perceptual, generalizing well on both dense haze and nonhomogeneous haze scene. Our method won the first place in NTIRE2020 nonhomogeneous dehazing challenge.",10.1109/CVPRW50498.2020.00223,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9150997,,83,,38
