Document Title,Authors,Author Affiliations,Publication Year,Abstract,DOI,PDF Link,Article Citation Count,Patent Citation Count,Reference Count,Document Identifier
High-Resolution Image Synthesis with Latent Diffusion Models,R. Rombach; A. Blattmann; D. Lorenz; P. Esser; B. Ommer,"Ludwig Maximilian University of Munich & IWR, Heidelberg University, Germany; Ludwig Maximilian University of Munich & IWR, Heidelberg University, Germany; Ludwig Maximilian University of Munich & IWR, Heidelberg University, Germany; Runway ML; Ludwig Maximilian University of Munich & IWR, Heidelberg University, Germany",2022,"By decomposing the image formation process into a sequential application of denoising autoencoders, diffusion models (DMs) achieve state-of-the-art synthesis results on image data and beyond. Additionally, their formulation allows for a guiding mechanism to control the image generation process without retraining. However, since these models typically operate directly in pixel space, optimization of powerful DMs often consumes hundreds of GPU days and inference is expensive due to sequential evaluations. To enable DM training on limited computational resources while retaining their quality and flexibility, we apply them in the latent space of powerful pretrained autoencoders. In contrast to previous work, training diffusion models on such a representation allows for the first time to reach a near-optimal point between complexity reduction and detail preservation, greatly boosting visual fidelity. By introducing cross-attention layers into the model architecture, we turn diffusion models into powerful and flexible generators for general conditioning inputs such as text or bounding boxes and high-resolution synthesis becomes possible in a convolutional manner. Our latent diffusion models (LDMs) achieve new state of the art scores for image inpainting and class-conditional image synthesis and highly competitive performance on various tasks, including unconditional image generation, text-to-image synthesis, and super-resolution, while significantly reducing computational requirements compared to pixel-based DMs.",10.1109/CVPR52688.2022.01042,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9878449,11512,,105,IEEE Conferences
Beyond a Gaussian Denoiser: Residual Learning of Deep CNN for Image Denoising,K. Zhang; W. Zuo; Y. Chen; D. Meng; L. Zhang,"School of Computer Science and Technology, Harbin Institute of Technology, Harbin, China; School of Computer Science and Technology, Harbin Institute of Technology, Harbin, China; ULSee Inc., China; School of Mathematics and Statistics and Ministry of Education Key Lab of Intelligent Networks and Network Security, Xi’an Jiaotong University, Xi’an, China; Department of Computing, The Hong Kong Polytechnic University, Hong Kong",2017,"The discriminative model learning for image denoising has been recently attracting considerable attentions due to its favorable denoising performance. In this paper, we take one step forward by investigating the construction of feed-forward denoising convolutional neural networks (DnCNNs) to embrace the progress in very deep architecture, learning algorithm, and regularization method into image denoising. Specifically, residual learning and batch normalization are utilized to speed up the training process as well as boost the denoising performance. Different from the existing discriminative denoising models which usually train a specific model for additive white Gaussian noise at a certain noise level, our DnCNN model is able to handle Gaussian denoising with unknown noise level (i.e., blind Gaussian denoising). With the residual learning strategy, DnCNN implicitly removes the latent clean image in the hidden layers. This property motivates us to train a single DnCNN model to tackle with several general image denoising tasks, such as Gaussian denoising, single image super-resolution, and JPEG image deblocking. Our extensive experiments demonstrate that our DnCNN model can not only exhibit high effectiveness in several general image denoising tasks, but also be efficiently implemented by benefiting from GPU computing.",10.1109/TIP.2017.2662206,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7839189,7160,,48,IEEE Journals
Masked Autoencoders Are Scalable Vision Learners,K. He; X. Chen; S. Xie; Y. Li; P. Dollár; R. Girshick,Facebook AI Research (FAIR); Facebook AI Research (FAIR); Facebook AI Research (FAIR); Facebook AI Research (FAIR); Facebook AI Research (FAIR); Facebook AI Research (FAIR),2022,"This paper shows that masked autoencoders (MAE) are scalable self-supervised learners for computer vision. Our MAE approach is simple: we mask random patches of the input image and reconstruct the missing pixels. It is based on two core designs. First, we develop an asymmetric encoder-decoder architecture, with an encoder that operates only on the visible subset of patches (without mask tokens), along with a lightweight decoder that reconstructs the original image from the latent representation and mask tokens. Second, we find that masking a high proportion of the input image, e.g., 75%, yields a nontrivial and meaningful self-supervisory task. Coupling these two designs enables us to train large models efficiently and effectively: we accelerate training (by 3× or more) and improve accuracy. Our scalable approach allows for learning high-capacity models that generalize well: e.g., a vanilla ViT-Huge model achieves the best accuracy (87.8%) among methods that use only ImageNet-1K data. Transfer performance in downstream tasks outperforms supervised pretraining and shows promising scaling behavior.",10.1109/CVPR52688.2022.01553,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9879206,5967,,72,IEEE Conferences
SwinIR: Image Restoration Using Swin Transformer,J. Liang; J. Cao; G. Sun; K. Zhang; L. Van Gool; R. Timofte,"Computer Vision Lab, ETH Zurich, Switzerland; Computer Vision Lab, ETH Zurich, Switzerland; Computer Vision Lab, ETH Zurich, Switzerland; Computer Vision Lab, ETH Zurich, Switzerland; Computer Vision Lab, ETH Zurich, Switzerland; Computer Vision Lab, ETH Zurich, Switzerland",2021,"Image restoration is a long-standing low-level vision problem that aims to restore high-quality images from low-quality images (e.g., downscaled, noisy and compressed images). While state-of-the-art image restoration methods are based on convolutional neural networks, few attempts have been made with Transformers which show impressive performance on high-level vision tasks. In this paper, we propose a strong baseline model SwinIR for image restoration based on the Swin Transformer. SwinIR consists of three parts: shallow feature extraction, deep feature extraction and high-quality image reconstruction. In particular, the deep feature extraction module is composed of several residual Swin Transformer blocks (RSTB), each of which has several Swin Transformer layers together with a residual connection. We conduct experiments on three representative tasks: image super-resolution (including classical, lightweight and real-world image super-resolution), image denoising (including grayscale and color image denoising) and JPEG compression artifact reduction. Experimental results demonstrate that SwinIR outperforms state-of-the-art methods on different tasks by up to 0.14∼0.45dB, while the total number of parameters can be reduced by up to 67%.",10.1109/ICCVW54120.2021.00210,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9607618,3715,,100,IEEE Conferences
Restormer: Efficient Transformer for High-Resolution Image Restoration,S. W. Zamir; A. Arora; S. Khan; M. Hayat; F. S. Khan; M. Yang,"Inception Institute of AI; Inception Institute of AI; Inception Institute of AI; Mohamed bin Zayed University of AI; Mohamed bin Zayed University of AI; University of California, Merced",2022,"Since convolutional neural networks (CNNs) perform well at learning generalizable image priors from large-scale data, these models have been extensively applied to image restoration and related tasks. Recently, another class of neural architectures, Transformers, have shown significant performance gains on natural language and high-level vision tasks. While the Transformer model mitigates the shortcomings of CNNs (i.e., limited receptive field and inadaptability to input content), its computational complexity grows quadratically with the spatial resolution, therefore making it infeasible to apply to most image restoration tasks involving high-resolution images. In this work, we propose an efficient Transformer model by making several key designs in the building blocks (multi-head attention and feed-forward network) such that it can capture long-range pixel interactions, while still remaining applicable to large images. Our model, named Restoration Transformer (Restormer), achieves state-of-the-art results on several image restoration tasks, including image deraining, single-image motion deblurring, defocus deblurring (single-image and dual-pixel data), and image denoising (Gaussian grayscale/color denoising, and real image denoising). The source code and pre-trained models are available at https://github.com/swz30/Restormer.",10.1109/CVPR52688.2022.00564,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9878962,2974,,109,IEEE Conferences
FFDNet: Toward a Fast and Flexible Solution for CNN-Based Image Denoising,K. Zhang; W. Zuo; L. Zhang,"Department of Computing, The Hong Kong Polytechnic University, Hong Kong; School of Computer Science and Technology, Harbin Institute of Technology, Harbin, China; Department of Computing, The Hong Kong Polytechnic University, Hong Kong",2018,"Due to the fast inference and good performance, discriminative learning methods have been widely studied in image denoising. However, these methods mostly learn a specific model for each noise level, and require multiple models for denoising images with different noise levels. They also lack flexibility to deal with spatially variant noise, limiting their applications in practical denoising. To address these issues, we present a fast and flexible denoising convolutional neural network, namely FFDNet, with a tunable noise level map as the input. The proposed FFDNet works on downsampled sub-images, achieving a good trade-off between inference speed and denoising performance. In contrast to the existing discriminative denoisers, FFDNet enjoys several desirable properties, including: 1) the ability to handle a wide range of noise levels (i.e., [0, 75]) effectively with a single network; 2) the ability to remove spatially variant noise by specifying a non-uniform noise level map; and 3) faster speed than benchmark BM3D even on CPU without sacrificing denoising performance. Extensive experiments on synthetic and real noisy images are conducted to evaluate FFDNet in comparison with state-of-the-art denoisers. The results show that FFDNet is effective and efficient, making it highly attractive for practical denoising applications.",10.1109/TIP.2018.2839891,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8365806,2406,,64,IEEE Journals
EnlightenGAN: Deep Light Enhancement Without Paired Supervision,Y. Jiang; X. Gong; D. Liu; Y. Cheng; C. Fang; X. Shen; J. Yang; P. Zhou; Z. Wang,"Department of Electrical and Computer Engineering, The University of Texas at Austin, Austin, TX, USA; Department of Electrical and Computer Engineering, The University of Texas at Austin, Austin, TX, USA; Bytedance Inc., Mountain View, CA, USA; Microsoft AI and Research, Redmond, WA, USA; Bytedance Inc., Mountain View, CA, USA; Bytedance Inc., Mountain View, CA, USA; Bytedance Inc., Mountain View, CA, USA; Department of Electronic Information and Communication, Huazhong University of Science and Technology, Wuhan, China; Department of Electrical and Computer Engineering, The University of Texas at Austin, Austin, TX, USA",2021,"Deep learning-based methods have achieved remarkable success in image restoration and enhancement, but are they still competitive when there is a lack of paired training data? As one such example, this paper explores the low-light image enhancement problem, where in practice it is extremely challenging to simultaneously take a low-light and a normal-light photo of the same visual scene. We propose a highly effective unsupervised generative adversarial network, dubbed EnlightenGAN, that can be trained without low/normal-light image pairs, yet proves to generalize very well on various real-world test images. Instead of supervising the learning using ground truth data, we propose to regularize the unpaired training using the information extracted from the input itself, and benchmark a series of innovations for the low-light image enhancement problem, including a global-local discriminator structure, a self-regularized perceptual loss fusion, and the attention mechanism. Through extensive experiments, our proposed approach outperforms recent methods under a variety of metrics in terms of visual quality and subjective user study. Thanks to the great flexibility brought by unpaired training, EnlightenGAN is demonstrated to be easily adaptable to enhancing real-world images from various domains. Our codes and pre-trained models are available at: https://github.com/VITA-Group/EnlightenGAN.",10.1109/TIP.2021.3051462,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9334429,2061,,59,IEEE Journals
Uformer: A General U-Shaped Transformer for Image Restoration,Z. Wang; X. Cun; J. Bao; W. Zhou; J. Liu; H. Li,University of Science and Technology of China; University of Macau; NA; University of Science and Technology of China; Huawei Noah's Ark Lab; University of Science and Technology of China,2022,"In this paper, we present Uformer, an effective and efficient Transformer-based architecture for image restoration, in which we build a hierarchical encoder-decoder network using the Transformer block. In Uformer, there are two core designs. First, we introduce a novel locally-enhanced window (LeWin) Transformer block, which performs non-overlapping window-based self-attention instead of global self-attention. It significantly reduces the computational complexity on high resolution feature map while capturing local context. Second, we propose a learnable multi-scale restoration modulator in the form of a multi-scale spatial bias to adjust features in multiple layers of the Uformer decoder. Our modulator demonstrates superior capability for restoring details for various image restoration tasks while introducing marginal extra parameters and computational cost. Powered by these two designs, Uformer enjoys a high capability for capturing both local and global dependencies for image restoration. To evaluate our approach, extensive experiments are conducted on several image restoration tasks, including image denoising, motion deblurring, defocus deblurring and deraining. Without bells and whistles, our Uformer achieves superior or comparable performance compared with the state-of-the-art algorithms. The code and models are available at https://github.com/ZhendongWang6/Uformer.",10.1109/CVPR52688.2022.01716,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9878729,1729,,86,IEEE Conferences
Pre-Trained Image Processing Transformer,H. Chen; Y. Wang; T. Guo; C. Xu; Y. Deng; Z. Liu; S. Ma; C. Xu; C. Xu; W. Gao,"Dept. of Machine Intelligence, Key Lab of Machine Perception (MOE), Peking University; Noah’s Ark Lab, Huawei Technologies; Dept. of Machine Intelligence, Key Lab of Machine Perception (MOE), Peking University; School of Computer Science, Faculty of Engineering, The University of Sydney; Central Software Institution, Huawei Technologies; Noah’s Ark Lab, Huawei Technologies; Institute of Digital Media, School of Electronic Engineering and Computer Science, Peking University; Noah’s Ark Lab, Huawei Technologies; Dept. of Machine Intelligence, Key Lab of Machine Perception (MOE), Peking University; Institute of Digital Media, School of Electronic Engineering and Computer Science, Peking University",2021,"As the computing power of modern hardware is increasing strongly, pre-trained deep learning models (e.g., BERT, GPT-3) learned on large-scale datasets have shown their effectiveness over conventional methods. The big progress is mainly contributed to the representation ability of transformer and its variant architectures. In this paper, we study the low-level computer vision task (e.g., denoising, super-resolution and deraining) and develop a new pre-trained model, namely, image processing transformer (IPT). To maximally excavate the capability of transformer, we present to utilize the well-known ImageNet benchmark for generating a large amount of corrupted image pairs. The IPT model is trained on these images with multi-heads and multi-tails. In addition, the contrastive learning is introduced for well adapting to different image processing tasks. The pre-trained model can therefore efficiently employed on desired task after fine-tuning. With only one pre-trained model, IPT outperforms the current state-of-the-art methods on various low-level benchmarks. Code is available at https://github.com/huawei-noah/Pretrained-IPT and https://gitee.com/mindspore/mindspore/tree/master/model_zoo/research/cv/IPT",10.1109/CVPR46437.2021.01212,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9577359,1708,,88,IEEE Conferences
Multi-Stage Progressive Image Restoration,S. W. Zamir; A. Arora; S. Khan; M. Hayat; F. S. Khan; M. -H. Yang; L. Shao,"Inception Institute of AI; Inception Institute of AI; Mohamed bin Zayed University of AI; Monash University; Mohamed bin Zayed University of AI; University of California, Merced; Inception Institute of AI",2021,"Image restoration tasks demand a complex balance between spatial details and high-level contextualized information while recovering images. In this paper, we propose a novel synergistic design that can optimally balance these competing goals. Our main proposal is a multi-stage architecture, that progressively learns restoration functions for the degraded inputs, thereby breaking down the overall recovery process into more manageable steps. Specifically, our model first learns the contextualized features using encoder-decoder architectures and later combines them with a high-resolution branch that retains local information. At each stage, we introduce a novel per-pixel adaptive design that leverages in-situ supervised attention to reweight the local features. A key ingredient in such a multi-stage architecture is the information exchange between different stages. To this end, we propose a two-faceted approach where the information is not only exchanged sequentially from early to late stages, but lateral connections between feature processing blocks also exist to avoid any loss of information. The resulting tightly interlinked multi-stage architecture, named as MPRNet, delivers strong performance gains on ten datasets across a range of tasks including image deraining, deblurring, and denoising. The source code and pre-trained models are available at https://github.com/swz30/MPRNet.",10.1109/CVPR46437.2021.01458,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9577298,1706,,100,IEEE Conferences
