"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"A Self-Adaption Single Image Dehaze Method Based on Clarity-evaluation-function of Image","Y. Liang; W. Zhang; K. Zhao; Y. Li","School of information science & engineering, Henan University of Technology, Zhengzhou, China; School of information science & engineering, Henan University of Technology, Zhengzhou, China; School of information science & engineering, Henan University of Technology, Zhengzhou, China; School of information science & engineering, Henan University of Technology, Zhengzhou, China",2018 International Conference on Advanced Mechatronic Systems (ICAMechS),"25 Oct 2018","2018","","","320","325","The quality of image collected under severe weather such as fog and haze is badly damaged due to the atmospheric scattering. In order to solve the problem that image dehazing algorithms have poor adaptability, which will occur contrast distortion after restoration or cannot eliminating the influence of dense haze, a self-adaption single image dehaze method based on clarity evaluation is proposed to effectively recover the visual effects of the scene. The innovation points of this paper lied in that, first, the haze image is disposed separately according to average value, standard deviation, average gradient, information entropy and other clarity judgment features of the input image; then, the method of self-adaption image quality evaluation and coding decision is introduced to the dehaze results, to output the best effects obtained through comparison of many methods; finally, the clarity judgment is carried out again to output the final results. Experimental results demonstrate that the proposed method can achieve a better dehazing effect, and its chromaticity, luminance and contrast are improved to a certain extent. The universality of dehaze method is further improved.","2325-0690","978-1-5386-7174-0","10.1109/ICAMechS.2018.8507126","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8507126","clarity judgment;self-adaption dehaze;evaluation of image quality;coding decision","Image restoration;Image color analysis;Image edge detection;Atmospheric modeling;Heuristic algorithms;Image quality;Filtering","","3","","12","IEEE","25 Oct 2018","30 Aug.-2 Sept. 2018","30 Aug.-2 Sept. 2018","IEEE","IEEE Conferences"
"Image Dehaze Method Using Depth Map Estimation Network Based on Atmospheric Scattering Model","Y. Kim; C. Yim","Image and Video Processing Laboratory, Konkuk University, Seoul, Korea; Image and Video Processing Laboratory, Konkuk University, Seoul, Korea","2020 International Conference on Electronics, Information, and Communication (ICEIC)","2 Apr 2020","2020","","","1","3","The purpose of dehaze is to remove haze effects for image enhancement. In previous typical researches for dehaze using deep learning, the transmission map is estimated directly through the training process. In this paper, we propose to obtain the transmission map indirectly from the depth map, which is estimated using deep learning framework. The haze removal is performed from the transmission map based on the atmospheric scattering model as the existing method. The experimental results show that the proposed method can give improved dehaze results for some images with relatively dark conditions.","","978-1-7281-6289-8","10.1109/ICEIC49074.2020.9051031","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9051031","dehaze;deep learning;atmospheric scattering model;transmission map;depth map","Deep learning;Training;Atmospheric modeling;Scattering;Estimation;Image enhancement","","5","","8","IEEE","2 Apr 2020","19-22 Jan. 2020","19-22 Jan. 2020","IEEE","IEEE Conferences"
"UCL-Dehaze: Toward Real-World Image Dehazing via Unsupervised Contrastive Learning","Y. Wang; X. Yan; F. L. Wang; H. Xie; W. Yang; X. -P. Zhang; J. Qin; M. Wei","School of Computer Science and Technology, Nanjing University of Aeronautics and Astronautics, Nanjing, China; School of Computer Science and Technology, Nanjing University of Aeronautics and Astronautics, Nanjing, China; School of Science and Technology, Hong Kong Metropolitan University, Hong Kong, China; Department of Computing and Decision Sciences, Lingnan University, Hong Kong, China; Peng Cheng Laboratory, Shenzhen, China; Tsinghua-Berkeley Shenzhen Institute, Shenzhen, China; School of Nursing, The Hong Kong Polytechnic University, Hong Kong, China; School of Computer Science and Technology, Nanjing University of Aeronautics and Astronautics, Nanjing, China",IEEE Transactions on Image Processing,"23 Feb 2024","2024","33","","1361","1374","While the wisdom of training an image dehazing model on synthetic hazy data can alleviate the difficulty of collecting real-world hazy/clean image pairs, it brings the well-known domain shift problem. From a different yet new perspective, this paper explores contrastive learning with an adversarial training effort to leverage unpaired real-world hazy and clean images, thus alleviating the domain shift problem and enhancing the network’s generalization ability in real-world scenarios. We propose an effective unsupervised contrastive learning paradigm for image dehazing, dubbed UCL-Dehaze. Unpaired real-world clean and hazy images are easily captured, and will serve as the important positive and negative samples respectively when training our UCL-Dehaze network. To train the network more effectively, we formulate a new self-contrastive perceptual loss function, which encourages the restored images to approach the positive samples and keep away from the negative samples in the embedding space. Besides the overall network architecture of UCL-Dehaze, adversarial training is utilized to align the distributions between the positive samples and the dehazed images. Compared with recent image dehazing works, UCL-Dehaze does not require paired data during training and utilizes unpaired positive/negative data to better enhance the dehazing performance. We conduct comprehensive experiments to evaluate our UCL-Dehaze and demonstrate its superiority over the state-of-the-arts, even only 1,800 unpaired real-world images are used to train our network. Source code is publicly available at https://github.com/yz-wang/UCL-Dehaze.","1941-0042","","10.1109/TIP.2024.3362153","National Natural Science Foundation of China(grant numbers:T2322012,62172218,62032011); National Defense Basic Scientific Research Program of China(grant numbers:JCKY2020605C003); Shenzhen Science and Technology Program(grant numbers:JCYJ20220818103401003,JCYJ20220530172403007); Basic and Applied Basic Research Foundation of Guangdong Province(grant numbers:2022A1515010170); General Research Fund of Hong Kong Research Grants Council(grant numbers:15218521); Lam Woo Research Fund(grant numbers:LWP20019); Direct Grant of Lingnan University(grant numbers:DR23B2); Faculty Research Grants of Lingnan University, Hong Kong(grant numbers:DB23A3,DB23B2); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10431709","UCL-Dehaze;image dehazing;unsupervised contrastive learning;unpaired data;adversarial training","Training;Self-supervised learning;Image restoration;Image color analysis;Atmospheric modeling;Task analysis;Synthetic data","","144","","69","IEEE","9 Feb 2024","2024","","IEEE","IEEE Journals"
"Dehaze of Cataractous Retinal Images Using an Unpaired Generative Adversarial Network","Y. Luo; K. Chen; L. Liu; J. Liu; J. Mao; G. Ke; M. Sun","Department of Precision Machinery and Precision Instrumentation, University of Science and Technology of China, Hefei, China; Department of Precision Machinery and Precision Instrumentation, University of Science and Technology of China, Hefei, China; Department of Precision Machinery and Precision Instrumentation, University of Science and Technology of China, Hefei, China; Department of Precision Machinery and Precision Instrumentation, University of Science and Technology of China, Hefei, China; Eye Hospital of Wenzhou Medical University, Wenzhou Medical University, Wenzhou, China; Hospital of USTC, University of Science and Technology of China, Hefei, China; Department of Precision Machinery and Precision Instrumentation, University of Science and Technology of China, Hefei, China",IEEE Journal of Biomedical and Health Informatics,"4 Dec 2020","2020","24","12","3374","3383","Cataracts are the leading cause of visual impairment worldwide. Examination of the retina through cataracts using a fundus camera is challenging and error-prone due to degraded image quality. We sought to develop an algorithm to dehaze such images to support diagnosis by either ophthalmologists or computer-aided diagnosis systems. Based on the generative adversarial network (GAN) concept, we designed two neural networks: CataractSimGAN and CataractDehazeNet. CataractSimGAN was intended for the synthesis of cataract-like images through unpaired clear retinal images and cataract images. CataractDehazeNet was trained using pairs of synthesized cataract-like images and the corresponding clear images through supervised learning. With two networks trained independently, the number of hyper-parameters was reduced, leading to better performance. We collected 400 retinal images without cataracts and 400 hazy images from cataract patients as the training dataset. Fifty cataract images and the corresponding clear images from the same patients after surgery comprised the test dataset. The clear images after surgery were used for reference to evaluate the performance of our method. CataractDehazeNet was able to enhance the degraded image from cataract patients substantially and to visualize blood vessels and the optic disc, while actively suppressing the artifacts common in application of similar methods. Thus, we developed an algorithm to improve the quality of the retinal images acquired from cataract patients. We achieved high structure similarity and fidelity between processed images and images from the same patients after cataract surgery.","2168-2208","","10.1109/JBHI.2020.2999077","Fundamental Research Funds for the Central Universities(grant numbers:WK2090090023); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9104877","Cataract;dehaze;retinal image;unpaired generative adversarial network","Cataracts;Retina;Biomedical imaging;Generative adversarial networks;Training data;Optical imaging","Aged;Aged, 80 and over;Algorithms;Cataract;Cataract Extraction;Deep Learning;Female;Humans;Image Processing, Computer-Assisted;Male;Middle Aged;Neural Networks, Computer;Retina","54","","54","IEEE","1 Jun 2020","Dec. 2020","","IEEE","IEEE Journals"
"Under water image enhancement based on linear image interpolation and limited image enhancer techniques","A. Bindhu; O. U. Maheswari","Dept. of Electronics and Communication Engineering College of Engineering, Guindy Anna University, Chennai, India; Dept. of Electronics and Communication Engineering, College of Engineering, Guindy Anna University, Chennai, India","2017 Fourth International Conference on Signal Processing, Communication and Networking (ICSCN)","30 Oct 2017","2017","","","1","5","The obstacles for images that are taken under the water are haze, low contrast, loss of color, etc. The quality of images that are taken under the water is not clear due to the impurities present in the water and some properties of water. This paper proposes methods to improve the quality of the underwater images. The proposed work in the paper consist of two methods they are Interpolation based Enhancement and Limited Image Enhancer. The First method is based on increasing the resolution of the image and the second method is based on increasing the contrast of the images. The main aim of the paper is to enhance the image that are taken under water. The qualitative for both the algorithms compared with the previous image enhancement techniques.","","978-1-5090-4740-6","10.1109/ICSCN.2017.8085692","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8085692","underwater image;enhancement;dehaze","Image color analysis;Image enhancement;Interpolation;Signal processing algorithms;Image edge detection;Filtering;Filtering algorithms","","2","","10","IEEE","30 Oct 2017","16-18 March 2017","16-18 March 2017","IEEE","IEEE Conferences"
"Single image haze removal using novel estimation of atmospheric light and transmission","H. Park; D. Park; D. K. Han; H. Ko","School of Electrical Engineering, Korea University, Seoul, Korea; Dept. of Visual Information Processing, Korea University, Seoul, Korea; Ocean Engineering and Marine Systems Team, Office of Naval Research, Arlington, VA, USA; School of Electrical Engineering, Korea University, Seoul, Korea",2014 IEEE International Conference on Image Processing (ICIP),"29 Jan 2015","2014","","","4502","4506","This paper presents a new single image dehaze approach that uses a novel estimation of the atmospheric light and media transmission. Conventional dehaze methods often result in degraded images with low contrast and/or oversaturation of color in some regions. In order to mitigate these problems we use local atmospheric light and estimate the media transmission for each local region by using an objective function represented by modified saturation evaluation metric and intensity difference. Experimental results on a variety of outdoor haze images show that the proposed method achieves excellent restoration in terms of contrast, color fidelity and image visibility.","2381-8549","978-1-4799-5751-4","10.1109/ICIP.2014.7025913","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7025913","Dehaze;saturation evaluation metric;local atmospheric light;image enhancement;media transmission","Measurement;Image restoration;Media;Estimation;Linear programming;Atmospheric modeling;Image color analysis","","14","","17","IEEE","29 Jan 2015","27-30 Oct. 2014","27-30 Oct. 2014","IEEE","IEEE Conferences"
"SID-Net: Satellite Image Dehaze Network Using Vision Transformers","A. Satia; S. Arya; S. M. Moorthi","Dept. of Computer Science Engineering, Pandit Deendayal Energy University, Gandhinagar, India; Space Applications Centre Signal and Image Procssing Area, Ahmedadad, India; Space Applications Centre Signal and Image Procssing Area, Ahmedadad, India",2024 IEEE India Geoscience and Remote Sensing Symposium (InGARSS),"9 May 2025","2024","","","1","4","Image dehazing is a low-level vision task which aims to generate latent haze-free images given their corresponding hazy counterparts. Past few years have seen Convolutional Neural Network (CNN) based methods dominate both low-level as well as high-level computer vision tasks. However, Vision Transformers (ViT), with their self-attention mechanism designed for images have recently made a breakthrough in highlevel and low-level vision tasks. CNN and Transformer based networks have been proved to be really efficient in performing image dehazing given that certain adjustments and changes are made to their architectures. In this work, we propose Satellite Image Dehaze Network (SID-Net) using CNN and Vision Transformer which integrates a modified ViT block in our CNN based network to dehaze the satellite images. SateHaze1k dataset is used to conduct all the experiments. Our study includes the comparison of the performance of our proposed model with state-of-the-art CNN based dehazing models. The proposed model achieves Peak Signal-To-Noise Ratio (PSNR) score of 20.5695 and Structural Similarity Index Measurement (SSIM) of 0.8642 on thickly hazed images. In future, we would also like use corresponding SAR (Synthetic Aperture Radar) data as condition to the optical data to improve the performance of our proposed model.","","979-8-3503-9034-6","10.1109/InGARSS61818.2024.10983999","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10983999","Remote Sensing;Image Dehazing;Convolutional Neural Network;Vision Transformer","Computer vision;PSNR;Optical computing;Transformers;Optical imaging;Data models;Satellite images;Convolutional neural networks;Optical sensors;Synthetic aperture radar","","2","","14","IEEE","9 May 2025","2-5 Dec. 2024","2-5 Dec. 2024","IEEE","IEEE Conferences"
"Improved single image dehazing using segmentation","S. Fang; J. Zhan; Y. Cao; R. Rao","School of Computer and Information, Hefei University of Technology, Hefei, China; School of Computer and Information, Hefei University of Technology, Hefei, China; Department of Automation, University of Science and Technology, Hefei, China; Anhui Institute of Optics and Fine Mechanics, Chinese Academy and Sciences, Hefei, China",2010 IEEE International Conference on Image Processing,"3 Dec 2010","2010","","","3589","3592","In the hazy weather, the image of outdoor scene is degraded by suspended particles. Scattering and absorption hinder scene radiance and bring in environment light into camera. In this work, a novel algorithm is introduced to restore the clear day image by the segmented hazy image. First, the existing visibility restoration model is analyzed and a conclusion is drawn that the model will violate the contrast enhancement constraint in some specific situations. Next, the graph-based image segmentation method is applied to segment the hazed image by choosing the optimal parameter. Then, the transmission maps prior are obtained according to the blackbody theory. After that, a bilateral filter is designed to amend the transmission map, which can make up the deficiency of restoration model and ensure the transmission map smooth under the contrast enhancement constraint. Last, the experimental results show that the method achieves rather good dehazing results.","2381-8549","978-1-4244-7994-8","10.1109/ICIP.2010.5651964","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5651964","Dehaze;image segment;blackbody theory;image restoration;bilateral filter","Image restoration;Image segmentation;Mathematical model;Computer vision;Equations;Meteorology;Image color analysis","","32","2","17","IEEE","3 Dec 2010","26-29 Sept. 2010","26-29 Sept. 2010","IEEE","IEEE Conferences"
"An single image dehazing algorithm using sky detection and segmentation","Y. -b. Zhu; J. -m. Liu; Y. -g. Hao","School of Information and Communication Engineering, Dalian University of Technology, Dalian, China; School of Information and Communication Engineering, Dalian University of Technology, Dalian, China; School of Information and Communication Engineering, Dalian University of Technology, Dalian, China",2014 7th International Congress on Image and Signal Processing,"8 Jan 2015","2014","","","248","252","Image dehazing has always been a focus of wide attention in recent years with great breakthrough. However, the existed algorithms may produce noise and color distortion in the process of image restoration, especially in the sky region. In this paper, an improved dark channel prior algorithm is proposed, which detects the sky firstly and divides the image into sky region and nonsky region, and then estimates the transmissions of the two parts separately, followed by the combination with a refining step. The results show that more natural images can be restored in the process of image dehazing, whether there is a sky area or not.","","978-1-4799-5835-1","10.1109/CISP.2014.7003786","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7003786","dehaze;sky detection;image segmentation;dark channel prior","Image color analysis;Image restoration;Image segmentation;Colored noise;Filtering algorithms;Algorithm design and analysis","","20","","11","IEEE","8 Jan 2015","14-16 Oct. 2014","14-16 Oct. 2014","IEEE","IEEE Conferences"
"Lightweight Implementation of a Transformer-based Single Image Dehaze Network","J. Mo; Z. Hao; Z. Tao; H. Lin; C. Yu; D. Lin","School of Information and Software Engineering, University of Electronic Science and Technology of China, Chengdu, China; School of Information and Software Engineering, University of Electronic Science and Technology of China, Chengdu, China; School of Information and Software Engineering, University of Electronic Science and Technology of China, Chengdu, China; School of Information and Software Engineering, University of Electronic Science and Technology of China, Chengdu, China; School of Information and Software Engineering, University of Electronic Science and Technology of China, Chengdu, China; School of Information and Software Engineering, University of Electronic Science and Technology of China, Chengdu, China",2024 4th International Conference on Intelligent Technology and Embedded Systems (ICITES),"11 Dec 2024","2024","","","160","165","With the rapid advancement of information technology, image dehazing technology has become increasingly important in many fields. In recent years, a multitude of new image dehazing methods have been proposed and have been widely applied across various sectors. Currently, as the Transformer architecture grows in popularity, this paper considers integrating the Transformer network structure into the domain of image dehazing. The paper aims to optimize the traditional U-shaped dehazing network that utilizes semantic segmentation by reducing the number of network layers to achieve a lightweight design while also improving the network's dehazing performance. Ultimately, the performance and effectiveness of the proposed network in this paper have been evaluated on typical datasets.","","979-8-3315-0629-2","10.1109/ICITES62688.2024.10777455","Natural Science Foundation of Sichuan Province; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10777455","Image dehaze;Transformer;Lightweight","Deep learning;Training;Visualization;Current transformers;Atmospheric modeling;Semantic segmentation;Training data;Computer architecture;Data models;Meteorology","","2","","32","IEEE","11 Dec 2024","20-23 Sept. 2024","20-23 Sept. 2024","IEEE","IEEE Conferences"
