train_loss,train_psnr,val_loss,val_psnr
1.0372933476042551e+19,-117.18865203857422,1728406430207180.8,-152.0563201904297
712590156418252.8,-147.98387145996094,315457220798054.4,-144.70553588867188
209059188414873.6,-143.0190887451172,138237452379750.4,-141.13784790039062
110645119418368.0,-140.2714385986328,80915380358348.8,-138.80369567871094
74060793053184.0,-138.51051330566406,61077017067520.0,-137.55735778808594
58767049975398.4,-137.50193786621094,49958792619622.4,-136.66903686523438
48526276938956.8,-136.66566467285156,41625552958259.2,-135.86122131347656
40526270011801.6,-135.89695739746094,35255865350553.6,-135.11703491210938
33964756107264.0,-135.14697265625,29540129806745.6,-134.33616638183594
28440644075520.0,-134.3855438232422,24768000183500.8,-133.54522705078125
